# s=55 S=80
# time_s	level
0.000	70
339.190	69
339.190	68
430.374	67
430.374	66
430.374	65
430.374	64
430.374	63
534.085	62
534.085	61
534.085	60
879.424	59
951.215	58
951.215	57
1017.480	56
1017.480	55
1149.167	54
1183.638	53
1225.774	52
1225.774	51
1327.963	50
1343.017	49
1409.376	48
1441.418	47
1480.350	46
1530.787	45
1530.787	44
1703.324	43
1703.324	42
1724.009	41
1724.009	40
1724.009	39
1790.822	38
1818.174	37
1818.174	36
2015.127	35
2015.127	34
2015.127	33
2029.030	32
2113.677	31
2113.677	30
2160.995	29
2497.805	28
2497.805	27
2497.805	26
2497.805	25
2617.834	24
2632.370	23
2632.370	22
2647.209	21
2705.510	20
2787.780	19
2787.780	18
2787.780	17
2909.930	16
2909.930	15
3022.638	14
3147.595	13
3147.595	12
3167.472	11
3219.293	10
3445.734	9
3483.939	8
3611.454	7
3767.647	6
3767.647	5
3798.777	4
3809.482	3
3862.811	2
3881.794	1
3889.716	0
3899.486	0
4039.338	0
4039.338	0
4155.311	20
4157.851	19
4207.786	18
4207.786	17
4207.786	16
4241.606	15
4241.606	14
4307.811	34
4425.641	33
4425.641	32
4474.203	31
4861.398	30
4861.398	29
4861.398	28
5035.471	27
5416.550	26
5545.997	46
5619.214	45
5619.214	44
5692.166	43
5692.166	42
5692.166	41
5692.166	40
5793.527	39
5793.527	38
5806.109	37
5905.892	36
6011.227	48
6095.465	47
6280.166	46
6322.402	45
6628.067	44
6628.067	43
6628.067	42
6724.375	41
6724.375	40
6724.375	39
6724.375	38
6779.630	37
6937.386	36
6991.474	35
7054.994	34
7395.008	33
7691.281	32
7847.113	31
7847.113	30
7853.442	50
7966.539	70
8025.861	69
8042.709	68
8070.240	67
8380.384	73
8524.291	72
8943.250	71
9032.396	70
9181.041	69
9478.945	68
9534.184	67
9534.184	66
9534.184	65
9549.075	64
9661.198	63
9694.622	62
9694.622	61
9726.022	60
10306.153	59
10306.153	58
10600.669	57
10600.669	56
10803.745	55
10803.745	54
10962.381	53
11186.827	52
11289.291	51
11289.291	50
11454.466	49
11600.500	48
11600.500	47
11896.224	46
11987.626	45
12125.903	44
12125.903	43
12145.292	42
12568.440	41
12583.387	40
12613.156	39
12699.840	38
12801.573	37
12801.573	36
12853.185	35
12875.980	34
12952.701	33
13079.224	32
13282.517	31
13282.517	30
13420.057	29
13429.051	28
13513.474	27
13820.173	26
13845.655	25
13930.427	24
14122.281	23
14122.281	22
14185.712	21
14197.366	20
14553.142	19
14630.738	18
14656.638	17
14656.638	16
14693.872	15
14803.811	14
14934.605	13
14960.993	12
14973.746	32
15056.227	31
15077.940	51
15160.744	50
15295.741	49
15389.855	48
15403.395	47
15452.499	46
15609.468	66
15616.919	65
15778.336	64
15778.336	63
15806.949	62
16274.267	61
16274.267	60
16274.267	59
16287.335	58
16422.832	57
16422.832	56
16588.418	55
16607.760	54
17043.856	53
17160.616	52
17191.281	51
17191.281	50
17191.281	49
17191.281	48
17414.521	47
