# s=50 S=70
# time_s	level
0.000	65
159.784	64
245.825	63
245.825	62
265.114	61
339.190	60
455.724	59
879.424	58
879.424	57
951.215	56
1036.996	55
1042.217	54
1225.774	53
1441.418	52
1623.557	51
1790.822	50
1869.877	49
1901.481	48
2015.127	47
2113.677	46
2113.677	45
2113.677	44
2113.677	43
2160.995	42
2311.997	41
2497.805	40
2497.805	39
2497.805	38
2497.805	37
2497.805	36
2632.370	35
2672.598	34
2787.780	33
2787.780	32
2909.930	31
3147.595	30
3147.595	29
3219.293	28
3317.285	27
3334.869	26
3406.297	25
3445.734	24
3445.734	23
3445.734	22
3483.939	21
3680.054	20
3680.054	19
3767.647	18
4425.641	17
4425.641	16
4425.641	15
4861.398	14
4861.398	13
4917.431	12
5154.978	11
5619.214	10
5619.214	9
5619.214	8
5619.214	7
5619.214	6
5633.019	5
5701.015	4
5793.527	3
5793.527	2
5843.616	1
5905.892	0
6322.402	0
6322.402	0
6432.729	20
6556.962	40
6628.067	39
6628.067	38
6628.067	37
6629.819	46
6724.375	45
6737.427	44
6999.688	43
7054.994	42
7395.008	41
7395.008	40
7504.532	39
7715.855	38
7847.113	37
7920.902	36
8025.861	35
8042.709	34
8042.709	33
8070.240	32
8070.240	31
8740.768	30
8886.547	50
8943.250	49
9032.396	48
9032.396	47
9032.396	46
9068.401	54
9073.686	53
9073.686	52
9181.041	51
9181.041	50
9337.319	49
9694.622	48
9694.622	47
9746.922	46
9760.249	45
9760.249	44
9834.282	43
9985.775	42
10099.246	41
10198.948	40
10352.130	39
10352.130	38
10401.978	37
10533.324	36
10600.669	35
10600.669	34
10827.310	33
11186.827	32
11289.291	31
11289.291	30
11289.291	29
11376.311	28
11454.466	27
11480.748	26
11530.412	46
11600.500	45
11600.500	44
11896.224	43
12199.675	42
12457.788	58
12568.440	57
12568.440	56
12699.840	55
12707.810	54
12801.573	53
12801.573	52
12801.573	51
12875.980	50
12952.701	49
12952.701	48
12952.701	47
12952.701	46
12952.701	45
13079.224	44
13079.224	43
13079.224	42
13127.852	41
13127.852	40
13251.482	39
13282.517	38
13368.803	37
