# hour	lambda	numCasse	numMag	E_T_s	P_OOS	P_aband	throughput_s	laborCost_eur_day	invCost_eur_day	waitCost_eur_day	totalCost_eur_day	util_Casse	util_CassaOnline	util_Dispatcher	util_BraccioUno	util_BraccioDue	util_Magazziniere	util_Pagamento	util_B1_high	util_B1_low
15-16	0.01333	4	2	300.156	0.00002	0.00000	0.01326	1680.00	263.08	480.22	2423.30	0.5906	0.0378	0.0399	0.5823	0.4933	0.3419	0.3794	0.5264	0.0560
15-16	0.01333	5	1	281.716	0.00043	0.00000	0.01326	1776.00	245.79	450.72	2472.51	0.4918	0.0378	0.0399	0.5828	0.4925	0.6824	0.3794	0.5263	0.0565
15-16	0.01333	5	2	280.807	0.00007	0.00000	0.01326	1992.00	263.19	449.26	2704.46	0.4918	0.0378	0.0399	0.5823	0.4925	0.3424	0.3796	0.5258	0.0565
16-17	0.01967	2	1	629877.724	0.00485	0.00000	0.01592	840.00	285.93	1486574.42	1487700.34	1.0008	0.0550	0.0479	0.6925	0.5924	0.8138	0.4500	0.6256	0.0669
16-17	0.01967	2	2	629879.838	0.00061	0.00000	0.01592	1056.00	270.21	1486579.41	1487905.62	1.0008	0.0550	0.0479	0.6967	0.5924	0.4097	0.4508	0.6299	0.0668
16-17	0.01967	3	1	533.703	0.05270	0.00000	0.01956	1152.00	868.77	1259.59	3280.37	0.8485	0.0546	0.0588	0.8167	0.7278	0.9529	0.5610	0.7344	0.0823
16-17	0.01967	3	2	533.862	0.01756	0.00000	0.01956	1368.00	447.58	1259.97	3075.55	0.8485	0.0546	0.0588	0.8431	0.7278	0.4953	0.5601	0.7607	0.0824
16-17	0.01967	4	1	407.038	0.05377	0.00000	0.01956	1464.00	886.28	960.65	3310.93	0.7476	0.0546	0.0588	0.8170	0.7263	0.9516	0.5596	0.7337	0.0833
16-17	0.01967	4	2	406.848	0.01813	0.00000	0.01956	1680.00	456.23	960.20	3096.44	0.7476	0.0546	0.0588	0.8436	0.7262	0.4956	0.5599	0.7603	0.0834
16-17	0.01967	5	1	371.481	0.05151	0.00000	0.01956	1776.00	862.06	876.73	3514.79	0.6148	0.0546	0.0588	0.8171	0.7266	0.9539	0.5626	0.7338	0.0833
16-17	0.01967	5	2	371.459	0.01849	0.00000	0.01956	1992.00	452.69	876.68	3321.37	0.6148	0.0546	0.0588	0.8447	0.7266	0.4939	0.5605	0.7613	0.0834
17-18	0.02475	2	1	1401807.272	0.00517	0.00000	0.01618	840.00	302.19	4163367.60	4164509.79	1.0008	0.0690	0.0487	0.7043	0.6011	0.8274	0.4500	0.6351	0.0692
17-18	0.02475	2	2	1401809.500	0.00120	0.00000	0.01618	1056.00	278.14	4163374.21	4164708.35	1.0008	0.0690	0.0487	0.7099	0.6011	0.4161	0.4496	0.6408	0.0691
17-18	0.02475	3	1	88321.448	0.17075	0.00000	0.02358	1152.00	3040.69	262314.70	266507.39	1.0012	0.0674	0.0709	0.8661	0.8770	0.9958	0.6726	0.7670	0.0992
17-18	0.02475	3	2	88325.356	0.08345	0.00000	0.02358	1368.00	1467.50	262326.31	265161.81	1.0012	0.0674	0.0709	0.9526	0.8770	0.5545	0.6725	0.8537	0.0990
17-18	0.02475	4	1	780.242	0.21145	0.00000	0.02462	1464.00	3826.58	2317.32	7607.90	0.8668	0.0677	0.0741	0.8723	0.9172	0.9990	0.7057	0.7695	0.1028
17-18	0.02475	4	2	781.285	0.10923	0.00000	0.02462	1680.00	2008.45	2320.42	6008.87	0.8667	0.0677	0.0741	0.9660	0.9170	0.5657	0.7048	0.8631	0.1029
17-18	0.02475	5	1	649.019	0.21290	0.00000	0.02462	1776.00	3809.44	1927.59	7513.03	0.7067	0.0677	0.0741	0.8696	0.9115	0.9968	0.7052	0.7623	0.1073
17-18	0.02475	5	2	651.749	0.11602	0.00000	0.02462	1992.00	2090.11	1935.69	6017.81	0.7067	0.0677	0.0741	0.9674	0.9115	0.5607	0.7049	0.8603	0.1071
18-19	0.02520	2	1	1467545.787	0.00482	0.00000	0.01621	840.00	299.71	4437858.46	4438998.17	1.0006	0.0699	0.0487	0.7047	0.6031	0.8285	0.4509	0.6363	0.0684
18-19	0.02520	2	2	1467541.185	0.00110	0.00000	0.01621	1056.00	276.05	4437844.54	4439176.60	1.0006	0.0699	0.0487	0.7074	0.6031	0.4171	0.4500	0.6389	0.0685
18-19	0.02520	3	1	121052.775	0.16734	0.00000	0.02360	1152.00	3030.54	366063.59	370246.13	1.0010	0.0688	0.0710	0.8656	0.8764	0.9972	0.6739	0.7658	0.0998
18-19	0.02520	3	2	121051.873	0.07934	0.00000	0.02360	1368.00	1419.74	366060.86	368848.60	1.0010	0.0688	0.0710	0.9532	0.8765	0.5561	0.6739	0.8534	0.0998
18-19	0.02520	4	1	863.802	0.22535	0.00000	0.02507	1464.00	4121.72	2612.14	8197.86	0.8790	0.0688	0.0754	0.8702	0.9324	0.9991	0.7175	0.7647	0.1055
18-19	0.02520	4	2	865.660	0.12536	0.00000	0.02507	1680.00	2279.41	2617.76	6577.16	0.8789	0.0688	0.0754	0.9726	0.9323	0.5639	0.7181	0.8670	0.1057
18-19	0.02520	5	1	768.772	0.22565	0.00000	0.02507	1776.00	4130.08	2324.77	8230.84	0.7137	0.0688	0.0754	0.8751	0.9324	0.9981	0.7178	0.7696	0.1055
18-19	0.02520	5	2	771.083	0.12646	0.00000	0.02507	1992.00	2326.03	2331.75	6649.79	0.7138	0.0688	0.0754	0.9722	0.9325	0.5626	0.7190	0.8670	0.1052
19-20	0.02275	2	1	1105044.653	0.00567	0.00000	0.01607	840.00	292.95	3016771.90	3017904.85	1.0006	0.0634	0.0483	0.6990	0.5969	0.8207	0.4504	0.6305	0.0684
19-20	0.02275	2	2	1105046.229	0.00104	0.00000	0.01607	1056.00	275.50	3016776.20	3018107.71	1.0007	0.0634	0.0483	0.7040	0.5969	0.4131	0.4500	0.6355	0.0685
19-20	0.02275	3	1	1310.605	0.14541	0.00000	0.02263	1152.00	2445.54	3577.95	7175.49	0.9676	0.0625	0.0681	0.8586	0.8408	0.9946	0.6491	0.7621	0.0966
19-20	0.02275	3	2	1313.302	0.06476	0.00000	0.02263	1368.00	1124.24	3585.32	6077.55	0.9676	0.0625	0.0681	0.9311	0.8407	0.5466	0.6481	0.8344	0.0967
19-20	0.02275	4	1	540.776	0.14551	0.00000	0.02263	1464.00	2443.51	1476.32	5383.82	0.8184	0.0625	0.0681	0.8621	0.8415	0.9934	0.6486	0.7667	0.0954
19-20	0.02275	4	2	542.518	0.06585	0.00000	0.02263	1680.00	1160.81	1481.07	4321.88	0.8183	0.0625	0.0681	0.9313	0.8414	0.5442	0.6479	0.8358	0.0955
19-20	0.02275	5	1	472.624	0.14622	0.00000	0.02263	1776.00	2472.79	1290.26	5539.06	0.6711	0.0625	0.0681	0.8591	0.8385	0.9925	0.6481	0.7614	0.0977
19-20	0.02275	5	2	474.192	0.06640	0.00000	0.02263	1992.00	1181.91	1294.55	4468.46	0.6712	0.0625	0.0681	0.9306	0.8386	0.5432	0.6475	0.8330	0.0975
