# completamenti	seed_123456789	seed_2010924726	seed_417893401	seed_281668658	seed_1918141768
20	3,4160	3,9309	2,9003	6,0339	4,2885
40	4,2652	3,5777	3,6041	5,2977	4,1546
60	7,3098	4,0741	4,4891	5,6879	5,4706
80	8,5142	4,4980	5,3013	5,5338	5,5227
100	8,1076	4,3341	5,2992	5,0488	5,3728
120	7,2984	4,5199	5,2438	5,9794	5,6618
140	7,3034	4,6009	5,6065	6,1369	5,9788
160	7,3354	4,5894	6,0428	6,5618	6,7549
180	7,0364	5,1589	6,2382	6,5227	7,2896
200	7,0782	5,7684	6,2665	6,6924	7,5519
220	7,2949	5,9213	6,3868	6,5175	7,4532
240	7,0950	5,8190	6,0983	6,6172	7,4153
260	6,9704	5,8990	6,3217	6,7524	7,7179
280	6,9157	6,0479	6,4398	6,7298	7,5805
300	6,8630	6,1366	6,3832	6,7157	7,5285
320	6,7937	6,1857	6,6125	6,8031	7,2618
340	6,8533	6,5641	6,6183	6,9143	7,2258
360	6,6395	7,1032	6,7857	6,8018	7,2504
380	6,6558	7,6150	6,7717	6,7895	7,1676
400	6,7199	7,6908	6,7767	6,9023	6,9963
420	6,5154	7,5868	6,6529	6,8448	7,0417
440	6,6802	7,8554	6,5466	6,8472	6,8693
460	6,6994	8,5176	6,5162	6,9193	6,8332
480	6,9307	8,6175	6,4754	6,9132	6,9327
500	6,9907	8,5155	6,3911	6,8065	7,1259
520	6,9816	8,4166	6,3533	6,8964	7,1721
540	7,0217	8,4771	6,3702	6,8821	7,1406
560	7,0399	8,4258	6,2950	6,9116	7,1062
580	6,9720	8,5774	6,2922	6,9884	6,9983
600	6,9814	8,6709	6,5573	7,0572	6,9523
620	6,9908	8,6663	6,6550	6,9915	7,0002
640	6,9316	8,6599	6,6904	6,9051	7,0521
660	7,0147	8,6401	6,7276	6,9306	7,1080
680	7,0780	8,5850	6,7476	6,9669	7,0957
700	6,9569	8,4801	6,7374	6,9828	7,1054
720	7,0274	8,4207	6,6982	6,9999	7,1439
740	7,0947	8,3656	6,6898	7,0066	7,1212
760	7,0791	8,3263	6,6616	6,9611	7,0570
780	7,1663	8,3107	6,6195	6,8681	7,0508
800	7,2145	8,2159	6,6054	6,8526	7,1466
820	7,2672	8,1172	6,6862	6,8222	7,0868
840	7,2753	7,9660	6,6173	6,7551	6,9812
860	7,2450	7,8990	6,5848	7,0052	6,8935
880	7,2139	7,8925	6,6395	7,2381	6,8218
900	7,2600	7,9247	6,6552	7,3358	6,8135
920	7,2969	7,9321	6,6052	7,3496	6,7843
940	7,2856	7,9357	6,6029	7,3064	6,9070
960	7,2883	7,8745	6,6354	7,2962	6,9516
980	7,2928	7,8738	6,5432	7,3650	6,9238
1000	7,2441	7,9136	6,5255	7,3219	6,8709
1020	7,2346	7,8903	6,6843	7,3141	6,8529
1040	7,2926	7,8723	6,6600	7,4473	6,8255
1060	7,2220	7,8590	6,6299	7,5387	6,8431
1080	7,2002	7,8146	6,6694	7,5323	6,9064
1100	7,1900	7,7991	6,6688	7,5053	6,8902
1120	7,1656	7,7446	6,6903	7,5779	6,8198
1140	7,1193	7,7050	6,6503	7,7049	6,7677
1160	7,0682	7,6691	6,6930	7,7279	6,7145
1180	7,0272	7,6097	6,7037	7,6979	6,7199
1200	7,0503	7,5394	6,6658	7,7662	6,7471
1220	7,0080	7,4850	6,7072	7,8264	6,7741
1240	7,0315	7,4746	6,7192	7,8215	6,7508
1260	6,9852	7,4989	6,7150	7,7932	6,7672
1280	6,9490	7,4756	6,7470	7,8015	6,8038
1300	6,9871	7,4555	6,7825	7,7570	6,8486
1320	6,9554	7,4253	6,8157	7,8016	6,8850
1340	6,9392	7,4173	6,8329	7,7509	6,9013
1360	6,9877	7,4533	6,8376	7,6951	6,8726
1380	7,0035	7,4211	6,9434	7,6748	6,8662
1400	7,0232	7,3362	7,0279	7,6362	6,8485
1420	7,1042	7,2908	7,0495	7,6203	6,8734
1440	7,1550	7,2935	7,0392	7,6199	6,8993
1460	7,1647	7,2573	7,0221	7,6500	6,8481
1480	7,1399	7,1692	6,9378	7,6256	6,8656
1500	7,1929	7,1479	6,9020	7,6653	6,9098
1520	7,2256	7,1073	6,8646	7,6683	6,8842
1540	7,2066	7,1124	6,9194	7,6593	6,8864
1560	7,1917	7,1267	6,9442	7,6383	6,9267
1580	7,1633	7,1123	6,9409	7,6317	6,9717
1600	7,1319	7,1157	6,8884	7,6499	6,9805
1620	7,0983	7,1451	6,8753	7,6160	6,9754
1640	7,1040	7,2070	6,8515	7,5840	6,9339
1660	7,0840	7,2245	6,8412	7,6016	6,8960
1680	7,0792	7,2091	6,8192	7,6424	6,8556
1700	7,0826	7,2384	6,7966	7,5987	6,8118
1720	7,1055	7,3061	6,7748	7,6039	6,7823
1740	7,1074	7,2970	6,7371	7,5789	6,7772
1760	7,0886	7,2956	6,6937	7,5419	6,7767
1780	7,0859	7,3022	6,6392	7,5156	6,7633
1800	7,0498	7,3213	6,6266	7,5788	6,7516
1820	7,0250	7,2978	6,6177	7,6436	6,7621
1840	7,0060	7,2915	6,6073	7,6450	6,7925
1860	6,9746	7,3218	6,5859	7,6661	6,7681
1880	6,9867	7,3293	6,5842	7,7069	6,7748
1900	6,9677	7,2963	6,6005	7,7015	6,7629
1920	6,9693	7,2953	6,5637	7,6926	6,7419
1940	6,9597	7,2539	6,5711	7,6892	6,7578
1960	6,9459	7,3139	6,5679	7,6930	6,7597
1980	6,9106	7,3425	6,5377	7,7410	6,7353
2000	6,8776	7,3811	6,5365	7,7700	6,7252
2020	6,8642	7,3734	6,5654	7,7576	6,7087
2040	6,9214	7,3526	6,6047	7,7627	6,6987
2060	6,9287	7,3820	6,6621	7,7764	6,6788
2080	6,9257	7,3859	6,7217	7,7691	6,6589
2100	6,9266	7,3542	6,7436	7,7714	6,6562
2120	6,9549	7,3464	6,7444	7,7739	6,6811
2140	6,9805	7,3351	6,7419	7,7514	6,7249
2160	6,9965	7,3008	6,7486	7,7470	6,7481
2180	6,9695	7,3114	6,7367	7,7655	6,7444
2200	6,9933	7,2949	6,7218	7,7869	6,7383
