# completamenti	seed_123456789	seed_2010924726	seed_417893401	seed_281668658	seed_1918141768
20	238,3080	289,9922	263,7510	382,6144	303,3989
40	248,7130	288,7140	257,9802	362,0558	307,2760
60	368,1958	287,2565	266,8791	333,8745	319,3222
80	407,8827	279,2043	259,2845	311,0534	307,0099
100	397,2361	278,4152	262,7300	294,7309	318,3085
120	394,1077	284,9469	275,3290	310,1386	337,4256
140	382,4092	294,4210	280,3888	342,5780	353,3371
160	366,4484	285,5824	276,6512	348,1678	365,0146
180	354,6959	302,4599	293,0477	361,7896	365,2075
200	354,6657	352,8371	298,1662	353,2670	372,6906
220	364,8729	357,3060	293,0587	349,0837	366,5522
240	354,2853	352,1355	293,5050	344,9101	354,9371
260	343,9799	352,9688	299,2078	341,0457	367,3967
280	343,5662	366,2787	302,6471	346,0460	360,0884
300	337,3638	367,9504	302,5130	361,4831	358,5962
320	332,9672	361,3556	311,9920	361,7598	351,8140
340	336,4539	369,9060	320,1592	357,3439	346,0321
360	334,6998	388,8514	318,7121	353,5817	343,4074
380	336,3039	404,1859	319,6859	347,3889	339,7440
400	338,8329	424,0034	321,9937	346,9202	335,9346
420	338,6544	428,2074	321,6525	346,2313	333,0046
440	339,9505	426,1420	321,2565	343,0340	332,5205
460	340,6249	442,6447	333,4423	345,1602	333,6027
480	340,9901	453,1669	331,7912	339,0174	336,0973
500	347,6399	455,8781	329,4262	334,7725	341,9913
520	350,2040	446,1753	329,1700	338,2267	350,2690
540	348,2887	441,0855	331,9002	334,8908	349,4430
560	347,2090	435,9633	328,9594	336,3943	346,3951
580	345,5055	436,7179	328,6410	340,7624	341,1748
600	345,9501	436,4460	336,5574	343,6931	338,9721
620	343,7423	432,1552	341,3512	341,8954	337,8949
640	343,3250	429,0809	346,3016	337,2700	338,8036
660	344,8350	426,9842	348,4461	336,5529	342,5775
680	344,5106	422,4491	346,9997	336,8243	343,8399
700	344,7372	417,3099	345,4667	337,7349	345,9252
720	347,3666	417,4744	344,4208	341,0381	344,9357
740	352,5346	417,3035	343,6380	341,3172	345,5358
760	353,2990	415,5966	340,8237	339,4129	344,9940
780	354,6308	412,2718	339,5405	336,7289	345,0241
800	357,0326	410,4255	337,0827	336,0214	347,4635
820	354,2387	407,6371	337,9516	335,1308	346,1552
840	353,4188	404,0168	336,0023	332,7976	344,9968
860	352,4701	401,0138	337,0022	338,3170	341,1896
880	354,0786	401,2641	335,8301	349,3866	339,6169
900	352,7523	400,4213	335,4567	359,4023	337,3262
920	352,2043	397,0120	333,4368	360,7494	335,0527
940	352,6807	395,4844	333,4514	359,7465	338,2712
960	353,3967	393,0537	331,8668	358,8509	340,5988
980	352,8676	390,0100	330,7948	357,4430	338,8150
1000	351,7422	389,9528	328,7952	356,4189	337,8718
1020	351,3974	388,6893	334,7093	354,4216	335,8298
1040	351,3842	388,6779	335,5725	357,1203	334,9734
1060	350,0456	387,3730	335,2589	365,9400	335,4682
1080	348,8273	387,5353	335,5928	369,1234	338,6293
1100	349,7876	386,3863	334,3939	367,0343	338,9115
1120	349,1756	382,7039	335,4524	367,0937	337,0217
1140	347,8488	382,5442	335,0955	372,3275	336,4490
1160	346,8033	380,2229	338,1451	372,2734	334,9737
1180	345,9881	378,0575	337,8580	371,4388	333,8819
1200	347,8690	376,2363	336,3536	372,0708	333,2955
1220	348,4762	373,8586	336,7805	373,7090	333,6194
