# s=50 S=60
# time_s	level
42695.319	14
42695.319	13
42848.469	12
42848.469	11
43107.187	10
43107.187	9
43142.512	8
43214.403	7
43214.403	6
43331.459	5
