# hour	lambda	numCasse	numMag	E_T_s	P_OOS	P_aband	throughput_s	laborCost_eur_day	invCost_eur_day	waitCost_eur_day	totalCost_eur_day	util_Casse	util_CassaOnline	util_Dispatcher	util_BraccioUno	util_BraccioDue	util_Magazziniere	util_Pagamento	util_B1_high	util_B1_low
15-16	0.01333	5	1	276.765	0.00000	0.00000	0.01297	1776.00	240.14	442.80	2458.93	0.5120	0.0387	0.0404	0.5686	0.4748	0.6698	0.3734	0.5119	0.0567
15-16	0.01333	5	2	277.602	0.00000	0.00000	0.01297	1992.00	262.40	444.14	2698.54	0.5120	0.0387	0.0404	0.5741	0.4748	0.3371	0.3828	0.5164	0.0577
16-17	0.01967	2	1	170428.609	0.00452	0.00000	0.01580	840.00	293.74	402228.56	403362.30	1.0042	0.0510	0.0491	0.6960	0.5879	0.7827	0.4648	0.6338	0.0622
16-17	0.01967	2	2	170584.717	0.00000	0.00000	0.01578	1056.00	281.02	402596.99	403934.01	1.0033	0.0510	0.0491	0.6657	0.5878	0.4014	0.4678	0.6039	0.0618
16-17	0.01967	3	1	509.001	0.03328	0.00000	0.01920	1152.00	967.40	1201.29	3320.69	0.8440	0.0552	0.0597	0.8139	0.7147	0.9461	0.5576	0.7406	0.0733
16-17	0.01967	3	2	511.750	0.02109	0.00000	0.01917	1368.00	467.44	1207.78	3043.22	0.8481	0.0551	0.0599	0.8203	0.7153	0.5080	0.5648	0.7447	0.0756
16-17	0.01967	4	1	394.437	0.03148	0.00000	0.01915	1464.00	993.43	930.91	3388.34	0.7542	0.0558	0.0596	0.8004	0.7259	0.9557	0.5563	0.7349	0.0654
16-17	0.01967	4	2	397.889	0.01175	0.00000	0.01915	1680.00	491.55	939.06	3110.61	0.7544	0.0558	0.0597	0.8374	0.7256	0.4996	0.5590	0.7733	0.0641
16-17	0.01967	5	1	353.886	0.02998	0.00000	0.01918	1776.00	970.31	835.21	3581.52	0.6341	0.0551	0.0596	0.8206	0.7191	0.9665	0.5684	0.7504	0.0702
16-17	0.01967	5	2	356.973	0.01196	0.00000	0.01917	1992.00	458.85	842.49	3293.34	0.6339	0.0558	0.0595	0.8357	0.7192	0.4935	0.5572	0.7638	0.0720
17-18	0.02475	2	1	369843.811	0.00587	0.00000	0.01571	840.00	288.44	1098436.12	1099564.56	1.0025	0.0681	0.0488	0.7039	0.5886	0.8452	0.4490	0.6348	0.0691
17-18	0.02475	2	2	369847.358	0.00000	0.00000	0.01571	1056.00	276.51	1098446.65	1099779.16	1.0025	0.0681	0.0488	0.6968	0.5884	0.4305	0.4556	0.6274	0.0694
17-18	0.02475	3	1	30576.089	0.15189	0.00000	0.02333	1152.00	3015.83	90810.98	94978.81	1.0128	0.0847	0.0734	0.8398	0.8786	0.9847	0.6872	0.7549	0.0849
17-18	0.02475	3	2	30578.211	0.05706	0.00000	0.02333	1368.00	1411.00	90817.29	93596.28	1.0128	0.0847	0.0734	0.9559	0.8786	0.5477	0.6895	0.8713	0.0849
